id_OZkeGOh04S_5yq_2dJaPAstfJ	1491s	actedIn	Inventing_the_Indian	inDateTime	2012-##-##	tt2492704	Rich Hall's Inventing the Indian	28 Oct 2012	2012	Rich Hall, Dallas Goldtooth, Dave Bald Eagle, Ailema Benally
id_EZOZNZWRTv_5yq_MpQjDhWgcB	2_Chainz	actedIn	The_Young_Blood_Chronicles	inDateTime	2014-05-21	tt4480636	Fall Out Boy: The Young Blood Chronicles	21 May 2014	2014	Patrick Stump, Pete Wentz, Joseph Trohman, Andrew Hurley
id_EZOZNZWRTv_5yq_OXuWmieeHb	2_Chainz	actedIn	Cruel_Summer	inDateTime	2012-##-##	tt3071192	Cruel Summer	27 Aug 2016	2016	Danny Miller, Reece Douglas, Natalie Martins, Gary Knowles
id_o!S1ulEvFU_5yq_x26LHQN?1G	50_Cent	actedIn	Vengeance	inDateTime	2014-02-22	tt1329454	Vengeance	20 May 2009	2009	Johnny Hallyday, Anthony Chau-Sang Wong, Simon Yam, Suet Lam
id_o!S1ulEvFU_5yq_RE?L8bdESq	50_Cent	actedIn	Streets_of_Blood	inDateTime	2009-07-28	tt1203523	Streets of Blood	28 Jul 2009	2009	Val Kilmer, 50 Cent, Sharon Stone, Michael Biehn
id_o!S1ulEvFU_5yq_to6IKU8lL0	50_Cent	actedIn	Righteous_Kill	inDateTime	2008-09-12	tt1034331	Righteous Kill	12 Sep 2008	2008	Robert De Niro, Al Pacino, 50 Cent, Carla Gugino
id_o!S1ulEvFU_5yq_Ux?fuJ9JKU	50_Cent	actedIn	Gun	inDateTime	2010-07-30	tt1560954	Gun	05 Sep 2015	2010	50 Cent, Val Kilmer, AnnaLynne McCord, James Remar
id_o!S1ulEvFU_5yq_OfLCf1ZWgg	50_Cent	actedIn	The_Prince	inDateTime	2014-08-22	tt0120794	The Prince of Egypt	18 Dec 1998	1998	Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock
id_o!S1ulEvFU_5yq_cGnc7ouZgE	50_Cent	actedIn	Den_of_Thieves	inDateTime	2018-01-19	tt1259528	Den of Thieves	19 Jan 2018	2018	Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent
id_o!S1ulEvFU_5yq_w7GczKmP85	50_Cent	actedIn	Home_of_the_Brave	inDateTime	2006-12-15	tt0763840	Home of the Brave	01 Mar 2007	2006	Samuel L. Jackson, Jessica Biel, Brian Presley, 50 Cent
id_o!S1ulEvFU_5yq_3cbU6!Tkk0	50_Cent	actedIn	Twelve	inDateTime	2010-01-29	tt1407084	Twelve	06 Aug 2010	2010	Chace Crawford, Rory Culkin, Philip Ettinger, Esti Ginzburg
id_o!S1ulEvFU_5yq_yBcf03OZup	50_Cent	actedIn	Freelancers	inDateTime	2012-08-10	tt1815708	Freelancers	12 Jan 2013	2012	50 Cent, Forest Whitaker, Robert De Niro, Malcolm Goodwin
id_o!S1ulEvFU_5yq_!cDqJyp!Kb	50_Cent	actedIn	Southpaw	inDateTime	2015-06-15	tt1798684	Southpaw	24 Jul 2015	2015	Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence
id_o!S1ulEvFU_5yq_CRhKO!l?b4	50_Cent	actedIn	Get_Rich_or_Die_Tryin'	inDateTime	2005-11-09	tt0430308	Get Rich or Die Tryin'	09 Nov 2005	2005	50 Cent, Adewale Akinnuoye-Agbaje, Joy Bryant, Omar Benson Miller
id_o!S1ulEvFU_5yq_gTmkrVr1qZ	50_Cent	actedIn	Caught_in_the_Crossfire	inDateTime	2010-07-20	tt1449379	Caught in the Crossfire	22 Nov 2012	2010	Chris Klein, Adam Rodriguez, 50 Cent, Richard T. Jones
id_o!S1ulEvFU_5yq_3PNtvJ2Ho0	50_Cent	actedIn	All_Things_Fall_Apart	inDateTime	2011-03-05	tt1606390	All Things Fall Apart	05 Mar 2011	2011	50 Cent, Ray Liotta, Lynn Whitfield, Cedric Sanders
id_o!S1ulEvFU_5yq_hIIVOu2BCU	50_Cent	actedIn	Dead_Man_Running	inDateTime	2009-10-30	tt1311699	Dead Man Running	30 Oct 2009	2009	Clint Koroan, Fredi 'Kruga' Nwaka, 50 Cent, Ashley Walters
id_o!S1ulEvFU_5yq_cMt8nbLqvq	50_Cent	actedIn	Escape_Plan	inDateTime	2013-10-09	tt1211956	Escape Plan	18 Oct 2013	2013	Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir
id_o!S1ulEvFU_5yq_7OoL5J3dFd	50_Cent	actedIn	Blood_Out	inDateTime	2011-04-26	tt0106469	Blood In, Blood Out	30 Apr 1993	1993	Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo
id_o!S1ulEvFU_5yq_X5SnMIs17r	50_Cent	actedIn	13	inDateTime	2010-03-13	tt0798817	13	01 Mar 2010	2010	Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham
id_o!S1ulEvFU_5yq_FsB!IoPUEK	50_Cent	actedIn	Champs	inDateTime	2014-04-19	tt1698652	Champs	13 Mar 2015	2014	Evander Holyfield, Bernard Hopkins, Mike Tyson, Larry 'Ratso' Sloman
id_0dzmPt6zCD_5yq_Cro4U8?Qgn	Aadhi_Pinisetty	actedIn	Ninnu_Kori	inDateTime	2017-06-23	tt6996016	Ninnu Kori	07 Jul 2017	2017	Nani, Nivetha Thomas, Aadhi, Tanikella Bharani
id_0dzmPt6zCD_5yq_F5ZG6yM5ho	Aadhi_Pinisetty	actedIn	Ayyanar	inDateTime	2010-12-10	tt4324054	Ayyanar	10 Dec 2010	2010	Aadhi, V. Jayaprakash, Anupama Kumar, Mahadevan
id_0dzmPt6zCD_5yq_nJ5LVyLx5h	Aadhi_Pinisetty	actedIn	Bhagmati	inDateTime	2017-08-11	tt0419499	Bhagmati	01 Jun 2005	2005	Tabu, Milind Soman, Somayajulu J.V., Hema Malini
id_0dzmPt6zCD_5yq_sAP1GvvQQe	Aadhi_Pinisetty	actedIn	Maragadha_Naanayam	inDateTime	2017-04-12	tt7010156	Maragadha Naanayam	16 Jun 2017	2017	Aadhi, Anandraj, M.S. Baskar, Brahmanandam
id_0dzmPt6zCD_5yq_mZ07PDAUtZ	Aadhi_Pinisetty	actedIn	Gundello_Godari	inDateTime	2013-03-08	tt2327170	Gundello Godari	08 Mar 2013	2013	Aadhi, Sundeep Kishan, Lakshmi Manchu, Laxmi Manchu
id_0dzmPt6zCD_5yq_3Oo0uC3HhC	Aadhi_Pinisetty	actedIn	Mirugam	inDateTime	2007-12-14	tt2122413	Mirugam	14 Dec 2007	2007	Aadhi, Padmapriya, Sona Heiden, 'Ganja' Karuppu
id_0dzmPt6zCD_5yq_46CST22Tw?	Aadhi_Pinisetty	actedIn	Sarrainodu	inDateTime	2016-04-22	tt5457772	Sarrainodu	22 Apr 2016	2016	Allu Arjun, Aadhi, Rakul Preet Singh, Catherine Tresa
id_0dzmPt6zCD_5yq_etoA?f4PzN	Aadhi_Pinisetty	actedIn	Oka_V_Chitram	inDateTime	2006-##-##	tt8210882	Oka V Chitram	19 May 2006	2006	Aadhi, Poonam Kaur, Madhu Shalini, Sudhakar Komakula
id_0dzmPt6zCD_5yq_YfDCIgBg3g	Aadhi_Pinisetty	actedIn	Eeram	inDateTime	2009-09-11	tt1670635	Eeram	09 Sep 2009	2009	Aadhi, Nandha, Sindhu Menon, Saranya Mohan
id_0dzmPt6zCD_5yq_2bd0afKJSc	Aadhi_Pinisetty	actedIn	Aadu_Puli	inDateTime	2011-02-18	tt0402738	Aadu Puli Atham	N/A	1977	Kamal Haasan, Rajinikanth, Sridevi
id_0dzmPt6zCD_5yq_vDqM1UmsSk	Aadhi_Pinisetty	actedIn	Aravaan	inDateTime	2012-03-02	tt2281103	Aravaan	02 Mar 2012	2012	Aadhi, Pasupathy, Dhansika, Archana Kavi
id_dFxouXuWGF_5yq_cF0lUn02jz	Aadi_Telugu_actor	actedIn	Prema_Kavali	inDateTime	2011-02-25	tt1846700	Prema Kavali	25 Feb 2011	2011	Aadi, Isha Chawla, Dev Gill, Nassar
