id_hMmUpAUbI3_5yq_dWZ5Ms4jtF	Alfons_Fryland	actedIn	Hidden_Fires	validOnDate	1925-##-##	tt0184569	Hidden Fires	07 Oct 1918	1918	Mae Marsh, Rod La Rocque, Florida Kingsley, Alec B. Francis
id_hMmUpAUbI3_5yq_vY5XUgTuIF	Alfons_Fryland	actedIn	Light_Cavalry	validOnDate	1927-10-13	tt0026618	Light Cavalry	07 Feb 1936	1935	Marika Rökk, Heinz von Cleve, Fritz Kampers, Karl Hellmer
id_hMmUpAUbI3_5yq_skEQBKS34l	Alfons_Fryland	actedIn	Carousel	validOnDate	1923-10-01	tt0049055	Carousel	16 Feb 1956	1956	Gordon MacRae, Shirley Jones, Cameron Mitchell, Barbara Ruick
id_pInBkSV5SD_5yq_KaqRb1HiKx	Alfonso_Arau	actedIn	Where_the_Hell's_That_Gold?	validOnDate	1988-11-13	tt0096434	Where the Hell's That Gold?!!?	13 Nov 1988	1988	Willie Nelson, Delta Burke, Jack Elam, Alfonso Arau
id_pInBkSV5SD_5yq_QNy5L!5FYn	Alfonso_Arau	actedIn	Mojado_Power	validOnDate	1981-12-04	tt0079572	Mojado Power	04 Dec 1981	1981	Alfonso Arau, Blanca Guerra, Pedro Damián, Priscilla Garcia
id_pInBkSV5SD_5yq_wyw!DbC7IU	Alfonso_Arau	actedIn	Romancing_the_Stone	validOnDate	1984-03-30	tt0088011	Romancing the Stone	30 Mar 1984	1984	Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman
id_pInBkSV5SD_5yq_qSwczAEUI4	Alfonso_Arau	actedIn	Three_Amigos	validOnDate	1986-12-12	tt0092086	¡Three Amigos!	12 Dec 1986	1986	Steve Martin, Chevy Chase, Martin Short, Alfonso Arau
id_pInBkSV5SD_5yq_fBiGFgZmyh	Alfonso_Arau	actedIn	I_Heart_Shakey	validOnDate	2012-06-29	tt1684225	I Heart Shakey	29 Jun 2012	2012	Beverly D'Angelo, Steve Guttenberg, Sean Giambrone, Steve Lemme
id_pInBkSV5SD_5yq_PfMy35rnf8	Alfonso_Arau	actedIn	Run,_Cougar,_Run	validOnDate	1972-10-18	tt0069199	Run, Cougar, Run	18 Oct 1972	1972	Stuart Whitman, Frank Aletter, Lonny Chapman, Douglas Fowley
id_pInBkSV5SD_5yq_ruauns2p0t	Alfonso_Arau	actedIn	Scandalous_John	validOnDate	1971-06-22	tt0067712	Scandalous John	22 Jun 1971	1971	Brian Keith, Alfonso Arau, Michele Carey, Rick Lenz
id_N9pLMyXbFS_5yq_4f22h3Vc5i	Alfonso_Bedoya	actedIn	Angel_in_Exile	validOnDate	1948-09-03	tt0040094	Angel in Exile	03 Sep 1948	1948	John Carroll, Adele Mara, Thomas Gomez, Barton MacLane
id_P!NZXkQTQG_5yq_Ql7UxJidhX	Alfonso_Cuarón	actedIn	Y_Tu_Mamá_También	validOnDate	2001-06-08	tt0245574	Y Tu Mamá También	26 Apr 2002	2001	Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal
