yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_OZkeGOh04S_5yq_2dJaPAstfJ	1491s	Inventing_the_Indian	Rich Hall's Inventing the Indian	['Rich Hall', ' Dallas Goldtooth', ' Dave Bald Eagle', ' Ailema Benally']	2012	2012-10-28	0	No	Yes	No
id_EZOZNZWRTv_5yq_MpQjDhWgcB	2 Chainz	The_Young_Blood_Chronicles	Fall Out Boy: The Young Blood Chronicles	['Patrick Stump', ' Pete Wentz', ' Joseph Trohman', ' Andrew Hurley']	2014-05-21	2014-05-21	1	No	Yes	No
id_EZOZNZWRTv_5yq_OXuWmieeHb	2 Chainz	Cruel_Summer	Cruel Summer	['Danny Miller', ' Reece Douglas', ' Natalie Martins', ' Gary Knowles']	2012	2016-08-27	0	No	No	No
id_o!S1ulEvFU_5yq_x26LHQN?1G	50 Cent	Vengeance	Vengeance	['Johnny Hallyday', ' Anthony Chau-Sang Wong', ' Simon Yam', ' Suet Lam']	2014-02-22	2009-05-20	0	No	No	No
id_o!S1ulEvFU_5yq_RE?L8bdESq	50 Cent	Streets_of_Blood	Streets of Blood	['Val Kilmer', ' 50 Cent', ' Sharon Stone', ' Michael Biehn']	2009-07-28	2009-07-28	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_to6IKU8lL0	50 Cent	Righteous_Kill	Righteous Kill	['Robert De Niro', ' Al Pacino', ' 50 Cent', ' Carla Gugino']	2008-09-12	2008-09-12	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_Ux?fuJ9JKU	50 Cent	Gun	Gun	['50 Cent', ' Val Kilmer', ' AnnaLynne McCord', ' James Remar']	2010-07-30	2015-09-05	0	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_OfLCf1ZWgg	50 Cent	The_Prince	The Prince of Egypt	['Val Kilmer', ' Ralph Fiennes', ' Michelle Pfeiffer', ' Sandra Bullock']	2014-08-22	1998-12-18	0	No	No	No
id_o!S1ulEvFU_5yq_cGnc7ouZgE	50 Cent	Den_of_Thieves	Den of Thieves	"['Gerard Butler', ' Pablo Schreiber', "" O'Shea Jackson Jr."", ' 50 Cent']"	2018-01-19	2018-01-19	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_w7GczKmP85	50 Cent	Home_of_the_Brave	Home of the Brave	['Samuel L. Jackson', ' Jessica Biel', ' Brian Presley', ' 50 Cent']	2006-12-15	2007-03-01	0	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_3cbU6!Tkk0	50 Cent	Twelve	Twelve	['Chace Crawford', ' Rory Culkin', ' Philip Ettinger', ' Esti Ginzburg']	2010-01-29	2010-08-06	0	No	Yes	No
id_o!S1ulEvFU_5yq_yBcf03OZup	50 Cent	Freelancers	Freelancers	['50 Cent', ' Forest Whitaker', ' Robert De Niro', ' Malcolm Goodwin']	2012-08-10	2013-01-12	0	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_!cDqJyp!Kb	50 Cent	Southpaw	Southpaw	['Jake Gyllenhaal', ' Rachel McAdams', ' Forest Whitaker', ' Oona Laurence']	2015-06-15	2015-07-24	0	No	Yes	No
id_o!S1ulEvFU_5yq_CRhKO!l?b4	50 Cent	Get_Rich_or_Die_Tryin'	Get Rich or Die Tryin'	['50 Cent', ' Adewale Akinnuoye-Agbaje', ' Joy Bryant', ' Omar Benson Miller']	2005-11-09	2005-11-09	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_gTmkrVr1qZ	50 Cent	Caught_in_the_Crossfire	Caught in the Crossfire	['Chris Klein', ' Adam Rodriguez', ' 50 Cent', ' Richard T. Jones']	2010-07-20	2012-11-22	0	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_3PNtvJ2Ho0	50 Cent	All_Things_Fall_Apart	All Things Fall Apart	['50 Cent', ' Ray Liotta', ' Lynn Whitfield', ' Cedric Sanders']	2011-03-05	2011-03-05	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_hIIVOu2BCU	50 Cent	Dead_Man_Running	Dead Man Running	"['Clint Koroan', "" Fredi 'Kruga' Nwaka"", ' 50 Cent', ' Ashley Walters']"	2009-10-30	2009-10-30	1	Yes	Yes	Yes
id_o!S1ulEvFU_5yq_cMt8nbLqvq	50 Cent	Escape_Plan	Escape Plan	['Sylvester Stallone', ' Arnold Schwarzenegger', ' Jim Caviezel', ' Faran Tahir']	2013-10-09	2013-10-18	0	No	Yes	No
id_o!S1ulEvFU_5yq_7OoL5J3dFd	50 Cent	Blood_Out	Blood In, Blood Out	['Damian Chapa', ' Jesse Borrego', ' Benjamin Bratt', ' Enrique Castillo']	2011-04-26	1993-04-30	0	No	No	No
